auction_id,"Seller ID","Seller Name","Seller DBA","Seller Address","Seller City","Seller State","Seller Zip","Seller Contact","Seller Phone","Buyer ID","Buyer Name","Buyer DBA","Buyer Address","Buyer City","Buyer State","Buyer Zip","Buyer Contact","Buyer Phone","Price Charged to Customer",VIN,"Vehicle Year","Vehicle Make","Vehicle Model","Vehicle Trim","Vehicle Class","Green Light","Payment Status","Pickup Slip Released","Does not Run","Starts and Dies","Fails to Move Forward or Reverse","Transmission Problem","4WD/Drivetrain Problem"
347746,3168,"Bob Gillingham Ford Inc",,"8383 Brook Park Rd",Cleveland,OH,44129,"Mike Spencer",216-398-1300,10611,"Medcalf Motors LLC","Truck World","12491 sw highway 54",Augusta,KS,67010,"Craig Medcalf",316-733-2126,1025.0,1FTPW14575KE92627,2005,Ford,F150,Lariat,Pickup,1.0,error,0,0,0,0,0,0
349584,402,"Haddad Motor Group, Inc.","Haddad Toyota","1030 State Route 20","New Lebanon",NY,12125,"Joe Scibelli","518-221-3448 Call Butch for Pi",7651,"Top Gun Auto Body, LLC",,"7002 Tonnelle Avenue","North Bergen",NJ,07047,"Joseph Rivera",201-430-8747,250.0,5TDKK4CC8AS331276,2010,Toyota,Sienna,LE,Minivan,1.0,pending,0,0,0,0,0,0
351495,1890,"Sun Auto Warehouse of Cortland",,"3870 State Route 281",Cortland,NY,13045,"Peter Detor","315-350-7155 (Kenny)",13768,"Mashal International, LLC","Car Bargain","187 West Shirley Ave",Warrenton,VA,20186,"Dorota Khan",540-349-5000,525.0,1D4HB38N84F123534,2004,Dodge,Durango,ST,"Large Crossover/SUV",1.0,pending,0,0,0,0,0,0
351387,5004,"MB Toms, LLC","Matt Blatt Kia of Toms River","1070 Route 37 West","Toms River",NJ,08757,"Henry Bryk",732-281-0000,9003,"King Richards' Auto Center",,"801 Taunton Ave","East Providence",RI,02914,"Richard Palumbo",401-434-6985,400.0,1J4PN2GK2BW574919,2011,Jeep,Liberty,Sport,"Small Crossover/SUV",1.0,deposited,1,0,0,0,0,0
348810,4308,"ACV Auto",ACV,"For Pick up location please call 1-800-553-4070 option 6",Buffalo,NY,14203,"Jill Kazmierczak",716-418-8684,20382,"Car City LLC",,"202 S Main Street","East Windsor",CT,06088,"David Hamadi",860-386-6876,,WAUSF78K39N039636,2009,Audi,A4,"Premium Plus","2009 Audi A4 Premium Plus",1.0,paid,1,0,0,0,0,0
353665,1889,"Sun Chevrolet, Inc",,"7542 Lakeport Road",Chittenango,NY,13037,"Peter Detor","315-350-7155 KENNY",152,"River Front Auto Sales","The Auto Store","6499 South Transit Road",Lockport,NY,14094,"John Mancuso",716-625-6205,300.0,1C4RJFAG5DC506012,2013,Jeep,"Grand Cherokee",Laredo,"Large Crossover/SUV",1.0,pending,0,0,0,0,0,0
353118,4880,"Lithia of Troy, LLC ","Carbone Subaru","800 Hoosick Road",Troy,NY,12180,"Fred L. Diamond",518-279-5079,3197,"Goldline Auto, LLC","Goldline Auto, LLC","447 Court Street",Binghamton,NY,13904,"Ozzie Tezel",607-624-8020,275.0,JF1GG685X5H808996,2005,Subaru,Impreza,Outback,"Small Car",1.0,pending,0,0,0,0,0,0
353984,20358,"TURNER-JOHNSON DODGE, INC","JOHNSON DODGE CHRYSLER JEEP RAM","1210 HWY 39 NORTH",Meridian,MS,39301,"TURNER-JOHNSON DODGE, INC",800-236-5738,19727,"Key Truck Sales, Inc.",,"2716 N. Main St",Baytown,TX,77521,"John Keeler",281-427-7528,650.0,3D7MS48C65G778121,2005,Dodge,"Ram 3500",SLT,Pickup,1.0,pending,0,0,0,0,0,0
355749,2205,"Fayetteville Dodge",,"5427 North Burdick Street",Fayetteville,NY,13066,"Chris Atwater",,18527,"HPB Auto, LLC","Indianapolis Trucks ","9431 Threel Road",Indianapolis,IN,46240,"Robert Herr (RJ)",317-538-0754,800.0,1GCGTBE39F1207980,2015,Chevrolet,Colorado,LT,Pickup,1.0,error,0,0,0,0,0,0
355792,402,"Haddad Motor Group, Inc.","Haddad Toyota","1030 State Route 20","New Lebanon",NY,12125,"Joe Scibelli","518-221-3448 Call Butch for Pi",3461,"Enfield Street Auto Sales",,"907 Enfield St",Enfield,CT,06082,"Vincent Bergamini",860-253-0556,175.0,5TBBV54148S518821,2008,Toyota,Tundra,SR5,Pickup,1.0,pending,0,0,0,0,0,0
355786,402,"Haddad Motor Group, Inc.","Haddad Toyota","1030 State Route 20","New Lebanon",NY,12125,"Joe Scibelli","518-221-3448 Call Butch for Pi",3461,"Enfield Street Auto Sales",,"907 Enfield St",Enfield,CT,06082,"Vincent Bergamini",860-253-0556,175.0,JTKKT624260153533,2006,Scion,xA,Base,"Small Car",0.0,pending,0,0,0,0,0,0
356726,5679,"Par K Enterprises, Inc.",,"825 South First Street",Fulton,NY,13069,"Thomas Gilbo",315-598-8118,1721,"Macrocar Sales",,"957 Canton Rd",Akron,OH,44312,"Milan Jokic",330-989-8843,500.0,WDBRH81J65F684948,2005,Mercedes-Benz,"C Class",C240,"Luxury Car",1.0,pending,0,0,0,0,0,0
355774,191,"1135 Millersport Highway LLC","Northtown Toyota Volkswagen Scion","1135 Millersport Highway",Buffalo,NY,14226,"Dave Martin",716-836-4600,7854,"Elliott Motors, Inc.",,"14391 Highway 460 West",Ezel,KY,41425,"Sidney Allen",606-359-2399,675.0,JTLKT334850194742,2005,Scion,xB,Base,"Small Car",1.0,pending,0,0,0,0,0,0
357039,15156,"Adirondack Trnsportain III LLC","Della Subaru Of Plattsburgh","170 Luzerne Road",Queensbury,NY,12804,"Joe Ruddy","518-361-1591 Phil for Pick up",9003,"King Richards' Auto Center",,"801 Taunton Ave","East Providence",RI,02914,"Richard Palumbo",401-434-6985,350.0,JF1GH63688H814667,2008,Subaru,Impreza,Outback,"Small Car",1.0,ta_on_file,0,0,0,0,0,0
357004,15945,"Gene Langan VW",,"816 New London Turnpike",Glastonbury,CT,06033,"Chris Tornaquindici",860-633-0261,9003,"King Richards' Auto Center",,"801 Taunton Ave","East Providence",RI,02914,"Richard Palumbo",401-434-6985,175.0,1FADP3F27DL354079,2013,Ford,Focus,SE,"Small Car",1.0,ta_on_file,0,0,0,0,0,0
357031,1889,"Sun Chevrolet, Inc",,"7542 Lakeport Road",Chittenango,NY,13037,"Peter Detor","315-350-7155 KENNY",9003,"King Richards' Auto Center",,"801 Taunton Ave","East Providence",RI,02914,"Richard Palumbo",401-434-6985,450.0,JM1CW2CL8C0142596,2012,Mazda,Mazda5,Touring,"Small Car",1.0,ta_on_file,0,0,0,0,0,0
354203,10362,"DCH NY Motors LLC","DCH Wappingers Falls Toyota Auto Group","1349 Route 9","Wappingers Falls",NY,12590,"Karl Boye",845-296-4207,8728,"Gas On The Run Inc",,"1075 Newman ave",Seekonk,MA,02771,"Zouhir Sendian",5086399425,500.0,4T1BE46K39U899173,2009,Toyota,Camry,LE,"Mid-Size Car",1.0,approved,0,1,0,0,0,0
355610,16519,"Tasca Automotive Group CT East, Inc.","Tasca Ford - CT","250 Webster Square Road",Berlin,CT,06037,"Michael Katsounakis",860-828-3546,8810,"Komplete Auto",,"4975 Auburn Road",Utica,MI,48317,"Kasie Goolsby",586-254-6630,950.0,1FDSE35F13HA63702,2003,Ford,"Commercial Vans",E350,"Full-Size Van",0.0,pending,0,0,0,1,0,0
357389,14624,"Liberty Ford Lincoln, Inc. ",,"1423 Tuscarawas St West",Canton,OH,44702,"Mitch Ury",330-456-2781,5783,"Cardinal Auto Sales",,"5429 Fayetteville Road",Raleigh,NC,27603,"Hassan Mohamed",919-523-0033,675.0,1FBNE31LX9DA58824,2009,Ford,"E350 Vans",XLT,"Full-Size Van",1.0,ta_on_file,0,0,0,0,0,0
357068,3190,"Botnick Chevrolet",,"179-83 Front Street",Binghamton,NY,13905,"Jason Bales",607-723-8971,13768,"Mashal International, LLC","Car Bargain","187 West Shirley Ave",Warrenton,VA,20186,"Dorota Khan",540-349-5000,450.0,1GDJG31U141193824,2004,GMC,"Commercial Vans","G3500 Series","Full-Size Van",1.0,pending,0,0,0,0,0,0
357257,18132,"Ed Martin Nissan Of Fishers",,"13397 Britton Park Road",Fishers,IN,46038,"Ryan Greenberg",317-863-2424,12629,"BP Automotive","DBA Car Direct Sales","2829 Old Rochester Rd",Springfield,IL,62703,"Bp Automotive Dba Car Direct Sales",217-361-8160,350.0,3D4PG5FV8AT107587,2010,Dodge,Journey,SXT,"Large Crossover/SUV",1.0,paid,1,0,0,0,0,0
354306,4841,"Circle Chevrolet Co.","Circle Chevrolet","641 Shrewsbury Avenue",Shrewsbury,NJ,07702,"Scott Spadafora",732-741-3130,17281,"Ed Auto Sales, Inc.",,"907-11 Broadway ",Newark,NJ,07104,Edwin,973-482-0028,125.0,5NMSH73E89H287764,2009,Hyundai,"Santa Fe",SE,"Small Crossover/SUV",1.0,pending,0,0,0,0,0,0
356861,14234,"Andy Mohr Chevrolet, Inc.",,"2712 East Main St.",Plainfield,IN,46168,"Gib Branthoover",,7854,"Elliott Motors, Inc.",,"14391 Highway 460 West",Ezel,KY,41425,"Sidney Allen",606-359-2399,400.0,1GTEK19T95E168040,2005,GMC,"Sierra 1500",SLT,Pickup,1.0,pending,0,0,0,0,0,0
356678,2430,"Canandaigua Motors, Inc.","Canandaigua Chrysler Dodge Jeep","2591 Rochester Road",Canandaigua,NY,14424,"Jeff Kesel",585-394-3440,9148,"National Wide Motors, Inc.",,"9001 Pendleton Pike",Indianapolis,IN,46236,"Yadira Garcia",317-875-1002,775.0,5N1AR18BX9C602403,2009,Nissan,Pathfinder,S,"Large Crossover/SUV",1.0,pending,0,0,0,0,0,0
357901,3835,"Burlington Chevrolet, Inc.","Burlington Chevrolet","105 East Route 130 South",Burlington,NJ,08016,"Terry Killo",609-227-4562,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,450.0,1HGCR2F32FA031108,2015,Honda,Accord,LX,"Mid-Size Car",1.0,to_be_floored,0,0,0,0,0,0
357978,11286,"Keller Chevrolet Inc.",,"3600 Genesee St",Buffalo,NY,14225,"Dean Jackson",716-912-0620,13768,"Mashal International, LLC","Car Bargain","187 West Shirley Ave",Warrenton,VA,20186,"Dorota Khan",540-349-5000,525.0,2T1BR32E15C329070,2005,Toyota,Corolla,CE,"Small Car",1.0,pending,0,0,0,0,0,0
357980,2046,"Mike Basil Motors, Inc.","Basil Toyota","6157 South Transit Road",Lockport,NY,14094,"Ryan Hunter",716-625-8444,4166,"Phil Steinle Chevrolet Buick, Inc.",,"2205 Hayes Ave",Sandusky,OH,44870,"Phil Steinle Jr",419-625-7000,425.0,5N1AN08W56C531941,2006,Nissan,Xterra,SE,"Small Crossover/SUV",1.0,pending,0,0,0,0,0,0
357993,4879,"Haldeman Ford, Inc.","Haldeman Ford Subaru","607 NJ Highway 33",Trenton,NJ,08619,"Tim Lorang",609-586-7600,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,425.0,1FM5K7B88DGA86422,2013,Ford,Explorer,Base,"Large Crossover/SUV",1.0,to_be_floored,0,0,0,0,0,0
358057,13336,"King Coal Chevrolet Company",,"1508 East Main St","Oak Hill",WV,25901,"Chase Barton",304-469-2901,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,525.0,1GTR2VE78CZ327329,2012,GMC,"Sierra 1500",SLE,Pickup,1.0,to_be_floored,0,0,0,0,0,0
357946,19497,"Bull Motor Company",,"224 Hwy 64 W",Wynne,AR,72396,"Brian Bull",8702382800,13113,"Jim Johnson ford",,"1838 south main st",Atmore,AL,36502,"Tommy Bailey",877-993-6739,575.0,3GCUKSEJ7EG331508,2014,Chevrolet,"Silverado 1500","LTZ Z71",Pickup,1.0,paid,1,0,0,0,0,0
358313,17052,"Richardson Enterprises, Inc.","Shore Toyota","4236 Black Horse Pike","Mays Landing",NJ,08330,"Nick Cantatore",609-645-2770,20451,"ESTRELLA NATIONAL AUTO LLC",,"510 SOUTH UNION ST",Lawrence,MA,01843,"Samuel Estrella",9788858383,475.0,JHMGE8G22AC034798,2010,Honda,Fit,Base,"Small Car",1.0,approved,0,0,0,0,0,0
358323,4239,"Able Ford of New Jersey, Inc.","All American Ford, Subaru & Isuzu","3698 Route 9 South","Old Bridge",NJ,08857,"Greg Pfeffer",732-212-6261,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,475.0,3FA6P0H77ER371693,2014,Ford,Fusion,SE,"Mid-Size Car",1.0,to_be_floored,0,0,0,0,0,0
358364,4483,"Weisleder, Inc.","All American Ford Point Pleasant","3306 Bridge Avenue","Point Pleasant Beach",NJ,08742,"Greg Pfeffer",732-892-4200,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,475.0,WD3PE7CC7B5533882,2011,Mercedes-Benz,"2500 Sprinter Vans","High Roof","Full-Size Van",1.0,to_be_floored,0,0,0,0,0,0
358558,3372,"3900 Sheridan Drive, LLC","Northtown Kia","3900 Sheridan Drive",Buffalo,NY,14226,"Kevin Hahn",716-217-2390,20533,"Art Auto Sales",,"450 Baltimore Summerset Rd",Baltimore,OH,43105,"Mack Hanna",614-301-8759,475.0,JM3ER293480177299,2008,Mazda,CX-7,,"Small Crossover/SUV",1.0,pending,0,0,0,0,0,0
358463,13336,"King Coal Chevrolet Company",,"1508 East Main St","Oak Hill",WV,25901,"Chase Barton",304-469-2901,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,525.0,2GCEK13C671704567,2007,Chevrolet,"Silverado 1500",LS,Pickup,1.0,to_be_floored,0,0,0,0,0,0
335110,715,"C. Basil Ford, Inc",,"1540 Walden Ave",Buffalo,NY,14225,"Robert Petroffski",716-893-1000,5402,"Ron Marhofer Auto Mall","Ron Marhofer Hyundai/Lincoln/Mitsubishi","1350 Main St","Cuyahoga Falls",OH,44221,"Greg Marquart",330-940-4010,350.0,KMHTC6AE3DU128177,2016,Hyundai,Veloster,Turbo,other,1.0,,0,0,0,0,0,0
358903,17005,"Dutch Miller of Charlotte, Inc.","Dutch Miller Kia","7725 South Blvd",Charlotte,NC,28273,"Brody Taylor",704-522-8422,16095,"StraightWay Motors, LLC",,"1408 East Main St ",Lincolnton,NC,28092,"Toren G Gordon",704-232-5748,125.0,KNAFE221695025950,2009,Kia,Spectra,SX,"Small Car",1.0,pending,0,0,0,0,0,0
358508,5707,"Dale Motor Corp","Precision Acura of Princeton","3001 Route 1 South","Lawrence Township",NJ,08648,"Scott Christian",609-895-0600,5317,"Ronald Zappia, Inc.",,"78 Route 46 East",Lodi,NJ,07644,"John Gareffa",973-773-9791,150.0,2HNYD2H22BH535171,2011,Acura,MDX,Base,"Large Luxury Crossover/SUV",1.0,pending,0,0,0,0,0,0
359382,15777,"Chapman Ford of Lancaster",,"5201 Manheim Pike","East Petersburg",PA,17520,"Tom Evans ",717-299-4331,5222,"Ryan Phelps Auto Sales, LLC",,"9328 Oswego Rd",Phoenix,NY,13135,"Ryan J. Phelps",315-529-1992,425.0,1GKFK66U26J135408,2006,GMC,"Yukon XL","1500 Denali","Large Crossover/SUV",1.0,paid,1,0,0,0,0,0
359056,7117,"Malloy Winchester, LLC","Malloy Ford","1911 Valley Avenue",Winchester,VA,22601,"Roy Funk",540-667-4434,19150,"Great Bridge Auto Sales Corporation","Wine Automotive","343 North Battlefield Blvd, Suite 100",Chesapeake,VA,23320,"Jeffrey M. Wine",757-373-3693,400.0,1FMHK8D82CGA66441,2012,Ford,Explorer,XLT,"Large Crossover/SUV",1.0,to_be_floored,0,0,0,0,0,0
358365,17052,"Richardson Enterprises, Inc.","Shore Toyota","4236 Black Horse Pike","Mays Landing",NJ,08330,"Nick Cantatore",609-645-2770,14111,"Merchants Auto Group",,"369 East Jackson St",Cicero,IN,46034,"Jeffrey Dennin",317-689-0010,850.0,4YDT24128ED422531,2014,KEYSTONE,BULLET,,"Recreational Vehicle",0.0,approved,1,0,0,0,0,0
358727,4944,"Paramus Ford, Inc.",,"520 River St",Paramus,NJ,07652,"Bryan Strozza",201-262-4900,19427,"New Wave Auto of Vineland LLC",,"2287 N Delsea Dr",Vineland,NJ,08360,Joe,8568394459,250.0,1FMYU93156KC81818,2006,Ford,Escape,XLT,"Small Crossover/SUV",1.0,pending,0,0,0,0,0,0
359082,901,"Metro Ford Sales, Inc",,"3601 State St",Schenectady,NY,12304,"James Tibbitts",518-382-1010,4362,"Route 9 Autos, LLC","Vix Auto Sales and Detailing","523 Park Ave",Worcester,MA,01603,"Nelson Scalzer",508-762-9373,275.0,1FMDK06W88GA24634,2008,Ford,"Taurus X",Limited,"Large Crossover/SUV",1.0,pending,0,0,0,0,0,0
359115,13892,"Muller Autos of Merrillville","Muller Acura  of Merrillville","3301 W Lincoln Hwy",Merrillville,IN,46410,"Glenn Muller",2194727000,4547,"Broadway Ford Hyundai, Inc.",,"1010 South Military Avenue","Green Bay",WI,54304,"Greg Schaff",920-499-3131,400.0,KM8JM12B68U896012,2008,Hyundai,Tucson,GLS,"Small Crossover/SUV",1.0,paid,1,0,0,0,0,0
359638,9510,"Route 206 Auto Group LLC","Kia of Sussex","20 Hampton House Rd",Newton,NJ,07860,"Jeff Debiase","973-383-1799 Kia",2431,"Kightlinger Auto Sales, Inc.",,"14469 Conneaut Lake Road",Meadville,PA,16335,"Thomas Kightlinger",814-382-1177,450.0,5XYZU3LA7DG106673,2013,Hyundai,"Santa Fe Sport",,"Small Crossover/SUV",1.0,approved,0,0,0,0,0,0
358902,9510,"Route 206 Auto Group LLC","Kia of Sussex","20 Hampton House Rd",Newton,NJ,07860,"Jeff Debiase","973-383-1799 Kia",19427,"New Wave Auto of Vineland LLC",,"2287 N Delsea Dr",Vineland,NJ,08360,Joe,8568394459,250.0,5NPET4AC9AH584111,2010,Hyundai,Sonata,GLS,"Mid-Size Car",1.0,pending,0,0,0,0,0,0
359776,11739,"Dachnowicz Automotive INC","Honda of Tarrytown","400 Oritani Drive",Blauvelt,NY,10913,"Gene Huxley (Honda Tarrytown)",914-631-0815,20311,"North Florence Auto Acq Inc",,"2354 Florence Blvd",Florence,AL,35630,"Jeff Feltner",256-766-7324,1075.0,1HGCR2F81GA105244,2016,Honda,Accord,EX-L,"Mid-Size Car",1.0,paid,1,0,0,0,0,0
